"Rank","Player","Matchup","Salary","Prob"
1,"Russell Wilson","SEA@SF 11/26/2017 04:05PM ET",7000,0.2176
2,"Tom Brady","MIA@NE 11/26/2017 01:00PM ET",7700,0.1122
3,"Cam Newton","CAR@NYJ 11/26/2017 01:00PM ET",6600,0.1061
4,"Drew Brees","NO@LAR 11/26/2017 04:25PM ET",6900,0.0867
5,"Alex Smith","BUF@KC 11/26/2017 01:00PM ET",6500,0.0804
6,"Carson Wentz","CHI@PHI 11/26/2017 01:00PM ET",7200,0.0681
7,"Trevor Siemian","DEN@OAK 11/26/2017 04:25PM ET",4400,0.0505
8,"Tyrod Taylor","BUF@KC 11/26/2017 01:00PM ET",5800,0.0487
9,"Jared Goff","NO@LAR 11/26/2017 04:25PM ET",6700,0.0454
10,"Derek Carr","DEN@OAK 11/26/2017 04:25PM ET",5600,0.0403
11,"Matt Ryan","TB@ATL 11/26/2017 01:00PM ET",6400,0.0264
12,"DeShone Kizer","CLE@CIN 11/26/2017 01:00PM ET",4400,0.0263
13,"Blake Bortles","JAX@ARI 11/26/2017 04:25PM ET",4900,0.0227
14,"Jacoby Brissett","TEN@IND 11/26/2017 01:00PM ET",5400,0.0217
15,"Andy Dalton","CLE@CIN 11/26/2017 01:00PM ET",6000,0.0164
16,"C.J. Beathard","SEA@SF 11/26/2017 04:05PM ET",4600,0.0101
17,"Josh McCown","CAR@NYJ 11/26/2017 01:00PM ET",5100,0.0074
18,"Ryan Fitzpatrick","TB@ATL 11/26/2017 01:00PM ET",5500,0.0042
19,"Matt Moore","MIA@NE 11/26/2017 01:00PM ET",4800,0.0029
20,"Marcus Mariota","TEN@IND 11/26/2017 01:00PM ET",6300,0.0021
21,"Drew Stanton","JAX@ARI 11/26/2017 04:25PM ET",4500,0.0017
22,"Brock Osweiler","DEN@OAK 11/26/2017 04:25PM ET",4500,0.0016
23,"Kevin Hogan","CLE@CIN 11/26/2017 01:00PM ET",4300,5e-04
24,"Derek Anderson","CAR@NYJ 11/26/2017 01:00PM ET",5200,0
25,"Jimmy Garoppolo","SEA@SF 11/26/2017 04:05PM ET",5000,0
26,"AJ McCarron","CLE@CIN 11/26/2017 01:00PM ET",4700,0
27,"Patrick Mahomes II","BUF@KC 11/26/2017 01:00PM ET",4700,0
28,"EJ Manuel","DEN@OAK 11/26/2017 04:25PM ET",4700,0
29,"Chase Daniel","NO@LAR 11/26/2017 04:25PM ET",4600,0
30,"Austin Davis","SEA@SF 11/26/2017 04:05PM ET",4600,0
31,"Blaine Gabbert","JAX@ARI 11/26/2017 04:25PM ET",4600,0
32,"Matt Cassel","TEN@IND 11/26/2017 01:00PM ET",4500,0
33,"Scott Tolzien","TEN@IND 11/26/2017 01:00PM ET",4500,0
34,"Nathan Peterman","BUF@KC 11/26/2017 01:00PM ET",4500,0
35,"Sean Mannion","NO@LAR 11/26/2017 04:25PM ET",4500,0
36,"Mitchell Trubisky","CHI@PHI 11/26/2017 01:00PM ET",4400,0
37,"Mike Glennon","CHI@PHI 11/26/2017 01:00PM ET",4400,0
38,"Nick Foles","CHI@PHI 11/26/2017 01:00PM ET",4400,0
39,"Paxton Lynch","DEN@OAK 11/26/2017 04:25PM ET",4400,0
40,"Matt Schaub","TB@ATL 11/26/2017 01:00PM ET",4300,0
41,"Cody Kessler","CLE@CIN 11/26/2017 01:00PM ET",4300,0
42,"Chad Henne","JAX@ARI 11/26/2017 04:25PM ET",4300,0
43,"Ryan Griffin","TB@ATL 11/26/2017 01:00PM ET",4000,0
44,"Jeff Driskel","CLE@CIN 11/26/2017 01:00PM ET",4000,0
45,"Brandon Weeden","TEN@IND 11/26/2017 01:00PM ET",4000,0
46,"Joe Webb","BUF@KC 11/26/2017 01:00PM ET",4000,0
47,"Tyler Bray","BUF@KC 11/26/2017 01:00PM ET",4000,0
48,"David Fales","MIA@NE 11/26/2017 01:00PM ET",4000,0
49,"Bryce Petty","CAR@NYJ 11/26/2017 01:00PM ET",4000,0
50,"Christian Hackenberg","CAR@NYJ 11/26/2017 01:00PM ET",4000,0
51,"Garrett Gilbert","CAR@NYJ 11/26/2017 01:00PM ET",4000,0
52,"Mark Sanchez","CHI@PHI 11/26/2017 01:00PM ET",4000,0
53,"Nate Sudfeld","CHI@PHI 11/26/2017 01:00PM ET",4000,0
54,"Brandon Allen","NO@LAR 11/26/2017 04:25PM ET",4000,0
55,"Taysom Hill","NO@LAR 11/26/2017 04:25PM ET",4000,0
56,"Matt Barkley","JAX@ARI 11/26/2017 04:25PM ET",4000,0
57,"Chad Kelly","DEN@OAK 11/26/2017 04:25PM ET",4000,0
58,"Connor Cook","DEN@OAK 11/26/2017 04:25PM ET",4000,0
