"Rank","Player","Matchup","Salary","Prob"
1,"Kareem Hunt","BUF@KC 11/26/2017 01:00PM ET",8000,0.147
2,"LeSean McCoy","BUF@KC 11/26/2017 01:00PM ET",8500,0.1403
3,"Todd Gurley II","NO@LAR 11/26/2017 04:25PM ET",8800,0.1342
4,"Mark Ingram","NO@LAR 11/26/2017 04:25PM ET",8300,0.1152
5,"Leonard Fournette","JAX@ARI 11/26/2017 04:25PM ET",8100,0.1021
6,"Alvin Kamara","NO@LAR 11/26/2017 04:25PM ET",7900,0.07
7,"Jordan Howard","CHI@PHI 11/26/2017 01:00PM ET",6000,0.0683
8,"C.J. Anderson","DEN@OAK 11/26/2017 04:25PM ET",3900,0.0466
9,"Bilal Powell","CAR@NYJ 11/26/2017 01:00PM ET",4900,0.0317
10,"Rex Burkhead","MIA@NE 11/26/2017 01:00PM ET",4300,0.0242
11,"Jay Ajayi","CHI@PHI 11/26/2017 01:00PM ET",6200,0.0183
12,"DeMarco Murray","TEN@IND 11/26/2017 01:00PM ET",5200,0.016
13,"Adrian Peterson","JAX@ARI 11/26/2017 04:25PM ET",5000,0.0115
14,"Charcandrick West","BUF@KC 11/26/2017 01:00PM ET",4400,0.011
15,"Thomas Rawls","SEA@SF 11/26/2017 04:05PM ET",3600,0.0096
16,"Corey Clement","CHI@PHI 11/26/2017 01:00PM ET",3800,0.0075
17,"Carlos Hyde","SEA@SF 11/26/2017 04:05PM ET",5500,0.007
18,"Christian McCaffrey","CAR@NYJ 11/26/2017 01:00PM ET",6900,0.0067
19,"T.J. Yeldon","JAX@ARI 11/26/2017 04:25PM ET",4100,0.0046
20,"Derrick Henry","TEN@IND 11/26/2017 01:00PM ET",4700,0.0044
21,"Tarik Cohen","CHI@PHI 11/26/2017 01:00PM ET",3800,0.0041
22,"Devontae Booker","DEN@OAK 11/26/2017 04:25PM ET",3700,0.0037
23,"Isaiah Crowell","CLE@CIN 11/26/2017 01:00PM ET",3900,0.0032
24,"DeAndre Washington","DEN@OAK 11/26/2017 04:25PM ET",3800,0.0029
25,"Chris Ivory","JAX@ARI 11/26/2017 04:25PM ET",4500,0.0017
26,"Corey Grant","JAX@ARI 11/26/2017 04:25PM ET",3000,0.0016
27,"Marshawn Lynch","DEN@OAK 11/26/2017 04:25PM ET",4000,0.0015
28,"Mike Gillislee","MIA@NE 11/26/2017 01:00PM ET",3400,0.0014
29,"Jonathan Stewart","CAR@NYJ 11/26/2017 01:00PM ET",3600,9e-04
30,"Tevin Coleman","TB@ATL 11/26/2017 01:00PM ET",6500,4e-04
31,"Andre Ellington","JAX@ARI 11/26/2017 04:25PM ET",3500,4e-04
32,"James White","MIA@NE 11/26/2017 01:00PM ET",4300,3e-04
33,"Elijah McGuire","CAR@NYJ 11/26/2017 01:00PM ET",3700,3e-04
34,"Jalen Richard","DEN@OAK 11/26/2017 04:25PM ET",3700,3e-04
35,"Marlon Mack","TEN@IND 11/26/2017 01:00PM ET",3600,2e-04
