"Rank","Player","Matchup","Salary","Prob"
1,"Travis Kelce","MIA@KC 12/24/2017 01:00PM ET",6900,0.3013
2,"Rob Gronkowski","BUF@NE 12/24/2017 01:00PM ET",7400,0.289
3,"Ricky Seals-Jones","NYG@ARI 12/24/2017 04:25PM ET",3500,0.1124
4,"Charles Clay","BUF@NE 12/24/2017 01:00PM ET",3800,0.1027
5,"Evan Engram","NYG@ARI 12/24/2017 04:25PM ET",5600,0.0737
6,"Cameron Brate","TB@CAR 12/24/2017 01:00PM ET",3300,0.053
7,"Jimmy Graham","SEA@DAL 12/24/2017 04:25PM ET",4700,0.0478
8,"Delanie Walker","LAR@TEN 12/24/2017 01:00PM ET",4900,0.0201
9,"Greg Olsen","TB@CAR 12/24/2017 01:00PM ET",5200,0
10,"Hunter Henry","LAC@NYJ 12/24/2017 01:00PM ET",4500,0
11,"Eric Ebron","DET@CIN 12/24/2017 01:00PM ET",3700,0
12,"Vernon Davis","DEN@WAS 12/24/2017 01:00PM ET",3400,0
13,"Austin Hooper","ATL@NO 12/24/2017 01:00PM ET",3100,0
14,"Ed Dickson","TB@CAR 12/24/2017 01:00PM ET",3000,0
15,"Jonnu Smith","LAR@TEN 12/24/2017 01:00PM ET",2900,0
16,"Dion Sims","CLE@CHI 12/24/2017 01:00PM ET",2700,0
17,"Dwayne Allen","BUF@NE 12/24/2017 01:00PM ET",2700,0
18,"Austin Seferian-Jenkins","LAC@NYJ 12/24/2017 01:00PM ET",2700,0
19,"David Njoku","CLE@CHI 12/24/2017 01:00PM ET",2600,0
20,"Tyler Kroft","DET@CIN 12/24/2017 01:00PM ET",2600,0
21,"Marcedes Lewis","JAX@SF 12/24/2017 04:05PM ET",2600,0
22,"Antony Auclair","TB@CAR 12/24/2017 01:00PM ET",2500,0
23,"Alan Cross","TB@CAR 12/24/2017 01:00PM ET",2500,0
24,"Chris Manhertz","TB@CAR 12/24/2017 01:00PM ET",2500,0
25,"Andrew DePaola","CLE@CHI 12/24/2017 01:00PM ET",2500,0
26,"Daniel Brown","CLE@CHI 12/24/2017 01:00PM ET",2500,0
27,"Ben Braunecker","CLE@CHI 12/24/2017 01:00PM ET",2500,0
28,"Randall Telfer","CLE@CHI 12/24/2017 01:00PM ET",2500,0
29,"Seth DeValve","CLE@CHI 12/24/2017 01:00PM ET",2500,0
30,"Matt Lengel","CLE@CHI 12/24/2017 01:00PM ET",2500,0
31,"Cethan Carter","DET@CIN 12/24/2017 01:00PM ET",2500,0
32,"C.J. Uzomah","DET@CIN 12/24/2017 01:00PM ET",2500,0
33,"Ryan Hewitt","DET@CIN 12/24/2017 01:00PM ET",2500,0
34,"Clark Harris","DET@CIN 12/24/2017 01:00PM ET",2500,0
35,"Darren Fells","DET@CIN 12/24/2017 01:00PM ET",2500,0
36,"Michael Roberts","DET@CIN 12/24/2017 01:00PM ET",2500,0
37,"James Winchester","MIA@KC 12/24/2017 01:00PM ET",2500,0
38,"Orson Charles","MIA@KC 12/24/2017 01:00PM ET",2500,0
39,"Demetrius Harris","MIA@KC 12/24/2017 01:00PM ET",2500,0
40,"A.J. Derby","MIA@KC 12/24/2017 01:00PM ET",2500,0
41,"Anthony Fasano","MIA@KC 12/24/2017 01:00PM ET",2500,0
42,"MarQueis Gray","MIA@KC 12/24/2017 01:00PM ET",2500,0
43,"Logan Thomas","BUF@NE 12/24/2017 01:00PM ET",2500,0
44,"Khari Lee","BUF@NE 12/24/2017 01:00PM ET",2500,0
45,"Jacob Hollister","BUF@NE 12/24/2017 01:00PM ET",2500,0
46,"Levine Toilolo","ATL@NO 12/24/2017 01:00PM ET",2500,0
47,"Eric Saubert","ATL@NO 12/24/2017 01:00PM ET",2500,0
48,"Garrett Griffin","ATL@NO 12/24/2017 01:00PM ET",2500,0
49,"Josh Hill","ATL@NO 12/24/2017 01:00PM ET",2500,0
50,"Michael Hoomanawanui","ATL@NO 12/24/2017 01:00PM ET",2500,0
51,"Eric Tomlinson","LAC@NYJ 12/24/2017 01:00PM ET",2500,0
52,"Neal Sterling","LAC@NYJ 12/24/2017 01:00PM ET",2500,0
53,"Sean Culkin","LAC@NYJ 12/24/2017 01:00PM ET",2500,0
54,"Jeff Cumberland","LAC@NYJ 12/24/2017 01:00PM ET",2500,0
55,"Sean McGrath","LAC@NYJ 12/24/2017 01:00PM ET",2500,0
56,"Antonio Gates","LAC@NYJ 12/24/2017 01:00PM ET",2500,0
57,"Phillip Supernaw","LAR@TEN 12/24/2017 01:00PM ET",2500,0
58,"Luke Stocker","LAR@TEN 12/24/2017 01:00PM ET",2500,0
59,"Beau Brinkley","LAR@TEN 12/24/2017 01:00PM ET",2500,0
60,"Derek Carrier","LAR@TEN 12/24/2017 01:00PM ET",2500,0
61,"Gerald Everett","LAR@TEN 12/24/2017 01:00PM ET",2500,0
62,"Tyler Higbee","LAR@TEN 12/24/2017 01:00PM ET",2500,0
63,"Jeff Heuerman","DEN@WAS 12/24/2017 01:00PM ET",2500,0
