"Rank","Player","Matchup","Salary","Prob"
1,"A.J. Green","CLE@CIN 11/26/2017 01:00PM ET",8000,0.1035
2,"Doug Baldwin","SEA@SF 11/26/2017 04:05PM ET",7000,0.0974
3,"T.Y. Hilton","TEN@IND 11/26/2017 01:00PM ET",6700,0.0974
4,"Brandin Cooks","MIA@NE 11/26/2017 01:00PM ET",7100,0.093
5,"Michael Thomas","NO@LAR 11/26/2017 04:25PM ET",7200,0.0873
6,"Larry Fitzgerald","JAX@ARI 11/26/2017 04:25PM ET",5600,0.0758
7,"Tyreek Hill","BUF@KC 11/26/2017 01:00PM ET",6900,0.0652
8,"Amari Cooper","DEN@OAK 11/26/2017 04:25PM ET",5400,0.063
9,"Sammy Watkins","NO@LAR 11/26/2017 04:25PM ET",4900,0.0473
10,"Mike Evans","TB@ATL 11/26/2017 01:00PM ET",7400,0.0433
11,"Michael Crabtree","DEN@OAK 11/26/2017 04:25PM ET",5500,0.0291
12,"Paul Richardson","SEA@SF 11/26/2017 04:05PM ET",4700,0.0232
13,"Tyler Lockett","SEA@SF 11/26/2017 04:05PM ET",4600,0.0222
14,"Devin Funchess","CAR@NYJ 11/26/2017 01:00PM ET",6100,0.0152
15,"J.J. Nelson","JAX@ARI 11/26/2017 04:25PM ET",3000,0.0152
16,"Alshon Jeffery","CHI@PHI 11/26/2017 01:00PM ET",6300,0.0139
17,"Ted Ginn Jr.","NO@LAR 11/26/2017 04:25PM ET",5100,0.0136
18,"Brandon LaFell","CLE@CIN 11/26/2017 01:00PM ET",4000,0.0134
19,"Julio Jones","TB@ATL 11/26/2017 01:00PM ET",7700,0.0111
20,"DeSean Jackson","TB@ATL 11/26/2017 01:00PM ET",4900,0.0096
21,"Taylor Gabriel","TB@ATL 11/26/2017 01:00PM ET",3400,0.0094
22,"Robby Anderson","CAR@NYJ 11/26/2017 01:00PM ET",5700,0.0086
23,"Chester Rogers","TEN@IND 11/26/2017 01:00PM ET",3300,0.0082
24,"Jarvis Landry","MIA@NE 11/26/2017 01:00PM ET",6800,0.0072
25,"Kenny Stills","MIA@NE 11/26/2017 01:00PM ET",4800,0.0071
26,"Demaryius Thomas","DEN@OAK 11/26/2017 04:25PM ET",5700,0.006
27,"Nelson Agholor","CHI@PHI 11/26/2017 01:00PM ET",5300,0.0031
28,"DeVante Parker","MIA@NE 11/26/2017 01:00PM ET",5900,0.0025
29,"Jaron Brown","JAX@ARI 11/26/2017 04:25PM ET",3100,0.0019
30,"Jermaine Kearse","CAR@NYJ 11/26/2017 01:00PM ET",4000,0.0018
