Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Injury
DST,Jaguars ,4500,IND@JAX 12/03/2017 01:00PM ET,14.545,JAX,
DST,Chargers ,4000,CLE@LAC 12/03/2017 04:05PM ET,10.636,LAC,
DST,Rams ,3600,LAR@ARI 12/03/2017 04:25PM ET,10.545,LAR,
DST,Bears ,3500,SF@CHI 12/03/2017 01:00PM ET,7.909,CHI,
DST,Titans ,3400,HOU@TEN 12/03/2017 01:00PM ET,6,TEN,
DST,Patriots ,3300,NE@BUF 12/03/2017 01:00PM ET,7.545,NE,
DST,Chiefs ,3200,KC@NYJ 12/03/2017 01:00PM ET,7.182,KC,
DST,Ravens ,3100,DET@BAL 12/03/2017 01:00PM ET,13.091,BAL,
DST,Buccaneers ,3100,TB@GB 12/03/2017 01:00PM ET,7.091,TB,
DST,Raiders ,3100,NYG@OAK 12/03/2017 04:25PM ET,3.182,OAK,
DST,Lions ,3000,DET@BAL 12/03/2017 01:00PM ET,10.636,DET,
DST,Broncos ,3000,DEN@MIA 12/03/2017 01:00PM ET,5.182,DEN,
DST,Dolphins ,2900,DEN@MIA 12/03/2017 01:00PM ET,4.455,MIA,
DST,Packers ,2800,TB@GB 12/03/2017 01:00PM ET,6.455,GB,
DST,Saints ,2800,CAR@NO 12/03/2017 04:25PM ET,9.545,NO,
DST,Vikings ,2700,MIN@ATL 12/03/2017 01:00PM ET,6.455,MIN,
DST,Colts ,2700,IND@JAX 12/03/2017 01:00PM ET,6.273,IND,
DST,Falcons ,2600,MIN@ATL 12/03/2017 01:00PM ET,6.545,ATL,
DST,49ers ,2600,SF@CHI 12/03/2017 01:00PM ET,4,SF,
DST,Jets ,2500,KC@NYJ 12/03/2017 01:00PM ET,5.455,NYJ,
DST,Giants ,2500,NYG@OAK 12/03/2017 04:25PM ET,6.091,NYG,
DST,Texans ,2400,HOU@TEN 12/03/2017 01:00PM ET,7,HOU,
DST,Panthers ,2300,CAR@NO 12/03/2017 04:25PM ET,8.364,CAR,
DST,Cardinals ,2200,LAR@ARI 12/03/2017 04:25PM ET,6,ARI,
DST,Browns ,2100,CLE@LAC 12/03/2017 04:05PM ET,5.182,CLE,
DST,Bills ,2000,NE@BUF 12/03/2017 01:00PM ET,6.727,BUF,
QB,Tom Brady,7800,NE@BUF 12/03/2017 01:00PM ET,23.211,NE,
QB,Philip Rivers,7000,CLE@LAC 12/03/2017 04:05PM ET,18.038,LAC,
QB,Cam Newton,6800,CAR@NO 12/03/2017 04:25PM ET,20.4,CAR,
QB,Jared Goff,6700,LAR@ARI 12/03/2017 04:25PM ET,18.915,LAR,
QB,Drew Brees,6500,CAR@NO 12/03/2017 04:25PM ET,18.433,NO,
QB,Matt Ryan,6400,MIN@ATL 12/03/2017 01:00PM ET,16.96,ATL,
QB,Marcus Mariota,6200,HOU@TEN 12/03/2017 01:00PM ET,16.392,TEN,
QB,Derek Carr,6100,NYG@OAK 12/03/2017 04:25PM ET,16.536,OAK,
QB,Case Keenum,6000,MIN@ATL 12/03/2017 01:00PM ET,17.234,MIN,
QB,Alex Smith,5900,KC@NYJ 12/03/2017 01:00PM ET,20.402,KC,
QB,Matthew Stafford,5800,DET@BAL 12/03/2017 01:00PM ET,19.291,DET,
QB,Jameis Winston,5600,TB@GB 12/03/2017 01:00PM ET,15.738,TB,
QB,Aaron Rodgers,5500,TB@GB 12/03/2017 01:00PM ET,20.117,GB,1
QB,Josh McCown,5500,KC@NYJ 12/03/2017 01:00PM ET,17.524,NYJ,
QB,Tyrod Taylor,5400,NE@BUF 12/03/2017 01:00PM ET,15.655,BUF,
QB,Blake Bortles,5400,IND@JAX 12/03/2017 01:00PM ET,15.405,JAX,
QB,Ryan Fitzpatrick,5300,TB@GB 12/03/2017 01:00PM ET,12.787,TB,
QB,Derek Anderson,5200,CAR@NO 12/03/2017 04:25PM ET,0.24,CAR,
QB,Jimmy Garoppolo,5100,SF@CHI 12/03/2017 01:00PM ET,5.12,SF,
QB,Brett Hundley,5100,TB@GB 12/03/2017 01:00PM ET,11.771,GB,
QB,Teddy Bridgewater,5000,MIN@ATL 12/03/2017 01:00PM ET,0,MIN,
QB,Carson Palmer,5000,LAR@ARI 12/03/2017 04:25PM ET,16.909,ARI,1
QB,Eli Manning,5000,NYG@OAK 12/03/2017 04:25PM ET,13.904,NYG,
QB,Joe Flacco,4900,DET@BAL 12/03/2017 01:00PM ET,9.764,BAL,
QB,Brian Hoyer,4900,NE@BUF 12/03/2017 01:00PM ET,9.373,NE,
QB,C.J. Beathard,4800,SF@CHI 12/03/2017 01:00PM ET,13.829,SF,
QB,Trevor Siemian,4800,DEN@MIA 12/03/2017 01:00PM ET,15.44,DEN,
QB,Jay Cutler,4700,DEN@MIA 12/03/2017 01:00PM ET,12.453,MIA,
QB,Patrick Mahomes II,4700,KC@NYJ 12/03/2017 01:00PM ET,0,KC,
QB,Kellen Clemens,4700,CLE@LAC 12/03/2017 04:05PM ET,0.34,LAC,
QB,Blaine Gabbert,4700,LAR@ARI 12/03/2017 04:25PM ET,20.46,ARI,
QB,EJ Manuel,4700,NYG@OAK 12/03/2017 04:25PM ET,7.55,OAK,
QB,Jacoby Brissett,4600,IND@JAX 12/03/2017 01:00PM ET,14.884,IND,
QB,Matt Moore,4600,DEN@MIA 12/03/2017 01:00PM ET,11.585,MIA,1
QB,Chase Daniel,4600,CAR@NO 12/03/2017 04:25PM ET,-0.2,NO,
QB,Ryan Mallett,4500,DET@BAL 12/03/2017 01:00PM ET,4.97,BAL,
QB,Mitchell Trubisky,4500,SF@CHI 12/03/2017 01:00PM ET,9.238,CHI,
QB,Scott Tolzien,4500,IND@JAX 12/03/2017 01:00PM ET,3.32,IND,
QB,Tom Savage,4500,HOU@TEN 12/03/2017 01:00PM ET,7.277,HOU,
QB,Matt Cassel,4500,HOU@TEN 12/03/2017 01:00PM ET,2.16,TEN,
